30
M,TO,ti,di,ci,tip,xi,speed
Port of Mumbai,Nhava Sheva,0.23222222222222225,3.715555555555557,256,2,0,16.0
Nhava Sheva,Port of Kolkata,122.5677777777778,1961.084444444445,167,3,18,16.0
Port of Kolkata,Port of Colombo,78.70916666666666,1259.3466666666666,255,2,17,16.0
Port of Colombo,Port of Laem Chabang,192.4905555555556,3079.848888888889,226,3,22,16.0
Port of Laem Chabang,Port Klang,65.15055555555556,1042.408888888889,332,2,22,16.0
Port Klang,Port of Hong Kong,103.64666666666666,1658.3466666666666,248,4,0,16.0
Port of Hong Kong,Port of Kokura,84.245,1347.92,238,5,27,16.0
Port of Kokura,Port of Kisarazu,34.95333333333333,559.2533333333333,177,6,0,16.0
Port of Kisarazu,Port of Chiba,1.4761111111111112,23.617777777777786,227,2,0,16.0
Port of Chiba,Hongkong International Terminals,108.97666666666666,1743.6266666666666,264,3,20,16.0
Hongkong International Terminals,Port of Niihama,85.61666666666667,1369.8666666666668,285,8,5,16.0
Port of Niihama,Port of Keelung,56.13388888888889,898.1422222222222,244,4,11,16.0
Port of Keelung,Port of Masan,50.15,802.4,184,8,12,16.0
Port of Masan,Port of Kawasaki,44.2425,707.88,217,6,1,16.0
Port of Kawasaki,Port of Gunsan (Kunsan),57.82472222222222,925.1955555555555,296,6,8,16.0
Port of Gunsan (Kunsan),Port of Chiwan,73.9975,1183.96,312,2,12,16.0
Port of Chiwan,Port of Dalian,86.3202777777778,1381.1244444444446,249,6,29,16.0
Port of Dalian,Port of Lianyungang,23.83055555555556,381.2888888888888,242,9,0,16.0
Port of Lianyungang,Port of Gwangyang,28.106388888888887,449.7022222222222,259,2,1,16.0
Port of Gwangyang,Port of Funabashi,48.41555555555557,774.6488888888889,238,3,2,16.0
Port of Funabashi,Port of Nagoya,14.014166666666664,224.22666666666663,271,8,0,16.0
Port of Nagoya,Port of Busan,34.18027777777777,546.8844444444444,322,4,10,16.0
Port of Busan,Port of Kinuura,33.25777777777777,532.1244444444444,275,1,3,16.0
Port of Kinuura,Port of Beirut,507.1080555555557,8113.728888888889,243,7,113,16.0
Port of Beirut,Port of Kaliningrad,261.2813888888889,4180.502222222222,201,1,46,16.0
Port of Kaliningrad,Port of Istanbul,246.2755555555556,3940.408888888889,251,6,9,16.0
Port of Istanbul,Port of Novorossiysk,28.476388888888888,455.6222222222222,201,9,4,16.0
Port of Novorossiysk,Dardanelles Strait,36.382222222222225,582.1155555555556,175,1,3,16.0
Dardanelles Strait,Port of Mumbai,236.6680555555556,3786.6888888888893,346,5,75,16.0
