30
M,TO,ti,di,ci,tip,xi,speed
Port of Mumbai,Nhava Sheva,0.23222222222222225,3.715555555555557,322,8,0,16.0
Nhava Sheva,Port of Kolkata,122.5677777777778,1961.084444444445,230,9,6,16.0
Port of Kolkata,Port of Colombo,78.70916666666666,1259.3466666666666,282,5,8,16.0
Port of Colombo,Port of Laem Chabang,192.4905555555556,3079.848888888889,274,2,57,16.0
Port of Laem Chabang,Port Klang,65.15055555555556,1042.408888888889,177,6,6,16.0
Port Klang,Port of Hong Kong,103.64666666666666,1658.3466666666666,249,3,10,16.0
Port of Hong Kong,Port of Kokura,84.245,1347.92,255,2,18,16.0
Port of Kokura,Port of Kisarazu,34.95333333333333,559.2533333333333,305,9,5,16.0
Port of Kisarazu,Port of Chiba,1.4761111111111112,23.617777777777786,283,7,0,16.0
Port of Chiba,Hongkong International Terminals,108.97666666666666,1743.6266666666666,269,4,15,16.0
Hongkong International Terminals,Port of Niihama,85.61666666666667,1369.8666666666668,279,8,3,16.0
Port of Niihama,Port of Keelung,56.13388888888889,898.1422222222222,269,6,16,16.0
Port of Keelung,Port of Masan,50.15,802.4,283,5,7,16.0
Port of Masan,Port of Kawasaki,44.2425,707.88,236,1,6,16.0
Port of Kawasaki,Port of Gunsan (Kunsan),57.82472222222222,925.1955555555555,186,7,7,16.0
Port of Gunsan (Kunsan),Port of Chiwan,73.9975,1183.96,294,5,2,16.0
Port of Chiwan,Port of Dalian,86.3202777777778,1381.1244444444446,242,6,21,16.0
Port of Dalian,Port of Lianyungang,23.83055555555556,381.2888888888888,269,3,7,16.0
Port of Lianyungang,Port of Gwangyang,28.106388888888887,449.7022222222222,349,1,6,16.0
Port of Gwangyang,Port of Funabashi,48.41555555555557,774.6488888888889,242,8,6,16.0
Port of Funabashi,Port of Nagoya,14.014166666666664,224.22666666666663,235,2,4,16.0
Port of Nagoya,Port of Busan,34.18027777777777,546.8844444444444,220,5,1,16.0
Port of Busan,Port of Kinuura,33.25777777777777,532.1244444444444,126,2,5,16.0
Port of Kinuura,Port of Beirut,507.1080555555557,8113.728888888889,208,5,109,16.0
Port of Beirut,Port of Kaliningrad,261.2813888888889,4180.502222222222,247,4,6,16.0
Port of Kaliningrad,Port of Istanbul,246.2755555555556,3940.408888888889,244,1,42,16.0
Port of Istanbul,Port of Novorossiysk,28.476388888888888,455.6222222222222,198,4,10,16.0
Port of Novorossiysk,Dardanelles Strait,36.382222222222225,582.1155555555556,253,2,7,16.0
Dardanelles Strait,Port of Mumbai,236.6680555555556,3786.6888888888893,252,7,20,16.0
