35
M,TO,ti,di,ci,tip,xi,speed
Port of Laem Chabang,Port of Manila,95.87138888888887,1533.9422222222222,199,5,23,16.0
Port of Manila,Port of Chiba,150.22611111111112,2403.617777777778,282,2,0,16.0
Port of Chiba,Port of Incheon,71.76472222222222,1148.2355555555555,340,4,15,16.0
Port of Incheon,Port of Gunsan (Kunsan),7.147222222222222,114.35555555555555,309,6,0,16.0
Port of Gunsan (Kunsan),Port of Masan,17.705833333333327,283.2933333333333,279,2,0,16.0
Port of Masan,Port of Niigata,36.831666666666656,589.3066666666666,274,1,3,16.0
Port of Niigata,Port of Dalian,67.23888888888888,1075.822222222222,308,7,24,16.0
Port of Dalian,Port of Nampo,11.261388888888884,180.18222222222215,230,2,2,16.0
Port of Nampo,Port of Kobe,57.57277777777777,921.1644444444444,88,5,2,16.0
Port of Kobe,Port of Kinuura,14.311944444444444,228.9911111111111,175,1,3,16.0
Port of Kinuura,Port of Funabashi,12.896388888888884,206.34222222222215,175,2,2,16.0
Port of Funabashi,Port of Ningbo,69.64972222222222,1114.3955555555556,182,2,2,16.0
Port of Ningbo,Port of Niihama,44.65083333333333,714.4133333333333,231,8,6,16.0
Port of Niihama,Port of Busan,15.917222222222225,254.6755555555556,215,6,3,16.0
Port of Busan,Port of Kitakyushu,7.268055555555555,116.28888888888888,237,6,1,16.0
Port of Kitakyushu,Port of Arkhangelsk,391.35444444444437,6261.671111111111,221,5,140,16.0
Port of Arkhangelsk,Port of Kawasaki,370.92166666666674,5934.746666666668,169,4,77,16.0
Port of Kawasaki,Port of Kisarazu,0.84,13.44,318,9,0,16.0
Port of Kisarazu,Port of Hakata,37.32305555555556,597.1688888888889,272,5,1,16.0
Port of Hakata,Port of Lianyungang,39.20444444444445,627.2711111111112,244,5,13,16.0
Port of Lianyungang,Port of Huadu,81.37,1301.92,313,1,23,16.0
Port of Huadu,Port of Kolkata,220.03,3520.48,334,7,66,16.0
Port of Kolkata,Imam  Khomeini  Port,210.6075,3369.720000000001,280,1,34,16.0
Imam  Khomeini  Port,Port of Kaliningrad,470.1172222222222,7521.875555555555,271,8,46,16.0
Port of Kaliningrad,Port of Beirut,261.2813888888889,4180.502222222222,272,2,0,16.0
Port of Beirut,Port of Novorossiysk,82.0825,1313.32,280,8,24,16.0
Port of Novorossiysk,Port of Istanbul,28.476388888888888,455.6222222222222,295,5,8,16.0
Port of Istanbul,Bosphorus (Istanbul) Strait,0.4236111111111111,6.777777777777778,208,1,0,16.0
Bosphorus (Istanbul) Strait,Port of Mumbai,244.97,3919.52,266,8,18,16.0
Port of Mumbai,Port of Colombo,61.12916666666666,978.0666666666666,220,7,16,16.0
Port of Colombo,Hongkong International Terminals,191.07666666666665,3057.2266666666665,286,7,10,16.0
Hongkong International Terminals,Port of Paradip,195.98638888888888,3135.782222222222,334,4,67,16.0
Port of Paradip,Port of Jakarta,188.6988888888889,3019.182222222222,230,4,49,16.0
Port of Jakarta,Port of Laem Chabang,77.88222222222224,1246.1155555555556,218,5,26,16.0
