15
M,TO,ti,di,ci,tip,xi,speed
Port of Kolkata,Port of Huadu,220.03,3520.48,317,5,61,16.0
Port of Huadu,Port of Gwangyang,72.26305555555554,1156.2088888888886,220,7,5,16.0
Port of Gwangyang,Port of Kawasaki,46.709722222222226,747.3555555555556,229,1,14,16.0
Port of Kawasaki,Port of Funabashi,1.1905555555555556,19.04888888888889,177,8,0,16.0
Port of Funabashi,Port of Kisarazu,1.6216666666666666,25.946666666666665,272,2,0,16.0
Port of Kisarazu,Port of Nagoya,12.849444444444444,205.59111111111113,210,2,0,16.0
Port of Nagoya,Port of Kobe,15.074166666666667,241.18666666666667,309,5,4,16.0
Port of Kobe,Port of Niihama,7.471111111111113,119.5377777777778,241,2,2,16.0
Port of Niihama,Port of Masan,17.55638888888889,280.90222222222224,245,5,5,16.0
Port of Masan,Port of Gunsan (Kunsan),17.705833333333327,283.2933333333333,268,9,4,16.0
Port of Gunsan (Kunsan),Port of Ningbo,30.609444444444453,489.75111111111113,336,4,10,16.0
Port of Ningbo,Port of Manila,71.23805555555555,1139.8088888888888,232,7,6,16.0
Port of Manila,Port of Kaliningrad,659.8213888888888,10557.142222222225,222,7,59,16.0
Port of Kaliningrad,Port of Kolkata,548.5336111111111,8776.537777777778,197,7,63,16.0
