15
M,TO,ti,di,ci,tip,xi,speed
Port of Kolkata,Port of Huadu,220.03,3520.48,216,7,54,16.0
Port of Huadu,Port of Gwangyang,72.26305555555554,1156.2088888888886,233,8,21,16.0
Port of Gwangyang,Port of Kawasaki,46.709722222222226,747.3555555555556,218,6,5,16.0
Port of Kawasaki,Port of Funabashi,1.1905555555555556,19.04888888888889,253,1,0,16.0
Port of Funabashi,Port of Kisarazu,1.6216666666666666,25.946666666666665,290,6,0,16.0
Port of Kisarazu,Port of Nagoya,12.849444444444444,205.59111111111113,212,7,0,16.0
Port of Nagoya,Port of Kobe,15.074166666666667,241.18666666666667,255,9,0,16.0
Port of Kobe,Port of Niihama,7.471111111111113,119.5377777777778,203,7,1,16.0
Port of Niihama,Port of Masan,17.55638888888889,280.90222222222224,275,8,5,16.0
Port of Masan,Port of Gunsan (Kunsan),17.705833333333327,283.2933333333333,300,8,2,16.0
Port of Gunsan (Kunsan),Port of Ningbo,30.609444444444453,489.75111111111113,297,3,0,16.0
Port of Ningbo,Port of Manila,71.23805555555555,1139.8088888888888,317,3,1,16.0
Port of Manila,Port of Kaliningrad,659.8213888888888,10557.142222222225,309,3,163,16.0
Port of Kaliningrad,Port of Kolkata,548.5336111111111,8776.537777777778,201,7,22,16.0
