15
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Port of Immingham,22.0,352.0,241,4,5,16.0
Port of Immingham,Port of Brest,33.0,528.0,265,4,10,16.0
Port of Brest,Port of Napoli,123.0,1968.0,250,3,6,16.0
Port of Napoli,Port of Baku,174.0,2784.0,241,4,28,16.0
Port of Baku,Port of Piraeus,133.0,2128.0,214,3,42,16.0
Port of Piraeus,Port of Marseille,75.0,1200.0,295,4,22,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,185,2,3,16.0
Port of Barcelona,Port of Lubeck,144.0,2304.0,275,9,24,16.0
Port of Lubeck,Port of Copenhagen,9.0,144.0,357,2,2,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,252,4,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,242,6,6,16.0
Port of Gdansk,Freeport of Riga,20.0,320.0,190,6,3,16.0
Freeport of Riga,Port of Hamburg,40.0,640.0,291,3,13,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,238,5,3,16.0
