15
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Port of Immingham,22.0,352.0,330,8,1,16.0
Port of Immingham,Port of Brest,33.0,528.0,285,7,7,16.0
Port of Brest,Port of Napoli,123.0,1968.0,375,7,15,16.0
Port of Napoli,Port of Baku,174.0,2784.0,269,6,47,16.0
Port of Baku,Port of Piraeus,133.0,2128.0,242,5,23,16.0
Port of Piraeus,Port of Marseille,75.0,1200.0,200,9,23,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,351,7,1,16.0
Port of Barcelona,Port of Lubeck,144.0,2304.0,246,3,48,16.0
Port of Lubeck,Port of Copenhagen,9.0,144.0,244,3,1,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,235,4,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,210,5,2,16.0
Port of Gdansk,Freeport of Riga,20.0,320.0,154,2,3,16.0
Freeport of Riga,Port of Hamburg,40.0,640.0,186,4,2,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,301,4,3,16.0
