15
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Port of Immingham,22.0,352.0,298,3,0,16.0
Port of Immingham,Port of Brest,33.0,528.0,266,7,6,16.0
Port of Brest,Port of Napoli,123.0,1968.0,246,7,21,16.0
Port of Napoli,Port of Baku,174.0,2784.0,292,4,39,16.0
Port of Baku,Port of Piraeus,133.0,2128.0,314,6,38,16.0
Port of Piraeus,Port of Marseille,75.0,1200.0,242,3,22,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,314,6,0,16.0
Port of Barcelona,Port of Lubeck,144.0,2304.0,241,3,11,16.0
Port of Lubeck,Port of Copenhagen,9.0,144.0,272,3,0,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,270,6,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,361,3,3,16.0
Port of Gdansk,Freeport of Riga,20.0,320.0,257,9,6,16.0
Freeport of Riga,Port of Hamburg,40.0,640.0,242,8,3,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,267,1,2,16.0
