35
M,TO,ti,di,ci,tip,xi,speed
Port of Bremerhaven,Port of Rotterdam,16.0,256.0,310,2,2,16.0
Port of Rotterdam,Port of Immingham,13.0,208.0,246,8,1,16.0
Port of Immingham,Port of Valletta,156.0,2496.0,213,2,20,16.0
Port of Valletta,Port of Piraeus,34.0,544.0,256,5,4,16.0
Port of Piraeus,Port of Brest,157.0,2512.0,270,4,2,16.0
Port of Brest,Port of Barcelona,94.0,1504.0,209,5,4,16.0
Port of Barcelona,Port of Livorno,25.0,400.0,242,5,2,16.0
Port of Livorno,Port of Baku,189.0,3024.0,204,1,14,16.0
Port of Baku,Port of Nikolaev,107.0,1712.0,273,6,13,16.0
Port of Nikolaev,Port of Sevastopol,12.0,192.0,220,5,1,16.0
Port of Sevastopol,Port of Venice,96.0,1536.0,164,2,33,16.0
Port of Venice,Port of Marseille,84.0,1344.0,266,4,6,16.0
Port of Marseille,Port of Genoa,14.0,224.0,278,8,4,16.0
Port of Genoa,Port of Napoli,23.0,368.0,257,5,0,16.0
Port of Napoli,Port of Lubeck,173.0,2768.0,222,8,35,16.0
Port of Lubeck,Port of Brussels,31.0,496.0,146,7,6,16.0
Port of Brussels,Felixstowe Port,9.0,144.0,342,2,1,16.0
Felixstowe Port,Port of Amsterdam,9.0,144.0,173,3,2,16.0
Port of Amsterdam,Port of Duisburg,7.0,112.0,224,4,1,16.0
Port of Duisburg,Port of Le Havre,23.0,368.0,347,3,4,16.0
Port of Le Havre,The Port of Ghent,14.0,224.0,199,5,0,16.0
The Port of Ghent,Scapa Flow,34.0,544.0,244,6,11,16.0
Scapa Flow,Port of Southampton,57.0,912.0,246,4,10,16.0
Port of Southampton,Port of Copenhagen,50.0,800.0,291,8,8,16.0
Port of Copenhagen,Freeport of Riga,29.0,464.0,173,1,1,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,366,1,3,16.0
Port of Helsinki,Klaipeda State Seaport,21.0,336.0,279,2,4,16.0
Klaipeda State Seaport,Port of Hamburg,31.0,496.0,229,2,10,16.0
Port of Hamburg,Port of London,27.0,432.0,192,8,6,16.0
Port of London,Port of Leith,26.0,416.0,211,7,6,16.0
Port of Leith,Port of Antwerp,27.0,432.0,231,1,5,16.0
Port of Antwerp,Copenhagen Malmo Port,42.0,672.0,179,3,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,254,9,2,16.0
Port of Gdansk,Port of Bremerhaven,27.0,432.0,233,8,5,16.0
