30
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Freeport of Riga,59.0,944.0,337,5,10,16.0
Freeport of Riga,Port of Gdynia,20.0,320.0,239,1,2,16.0
Port of Gdynia,Port of Lubeck,21.0,336.0,296,8,4,16.0
Port of Lubeck,Port of Rotterdam,25.0,400.0,245,6,4,16.0
Port of Rotterdam,Port of Helsinki,60.0,960.0,225,9,19,16.0
Port of Helsinki,Klaipeda State Seaport,21.0,336.0,267,7,5,16.0
Klaipeda State Seaport,Port of Copenhagen,20.0,320.0,291,7,2,16.0
Port of Copenhagen,Port of Antwerp,33.0,528.0,237,5,7,16.0
Port of Antwerp,Port of Southampton,15.0,240.0,274,6,4,16.0
Port of Southampton,Port of Le Havre,10.0,160.0,331,4,2,16.0
Port of Le Havre,Port of Brussels,17.0,272.0,240,8,2,16.0
Port of Brussels,Port of London,13.0,208.0,221,7,0,16.0
Port of London,Port of Immingham,14.0,224.0,224,5,3,16.0
Port of Immingham,Copenhagen Malmo Port,40.0,640.0,289,4,3,16.0
Copenhagen Malmo Port,Port of Barcelona,156.0,2496.0,304,3,12,16.0
Port of Barcelona,Port of Valletta,42.0,672.0,293,7,5,16.0
Port of Valletta,Port of Baku,164.0,2624.0,331,3,25,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,271,3,7,16.0
Port of Sevastopol,Port of Piraeus,47.0,752.0,282,3,8,16.0
Port of Piraeus,Port of Nikolaev,47.0,752.0,249,8,16,16.0
Port of Nikolaev,Port of Venice,101.0,1616.0,200,8,14,16.0
Port of Venice,Porto Marghera,1.0,16.0,351,6,0,16.0
Porto Marghera,Port of Genoa,82.0,1312.0,223,4,16,16.0
Port of Genoa,Port of Napoli,23.0,368.0,248,6,0,16.0
Port of Napoli,Port of Hamburg,167.0,2672.0,298,1,9,16.0
Port of Hamburg,Felixstowe Port,22.0,352.0,276,9,4,16.0
Felixstowe Port,Port of Bremerhaven,19.0,304.0,342,6,1,16.0
Port of Bremerhaven,Port of Leith,30.0,480.0,186,3,7,16.0
Port of Leith,Port of Duisburg,33.0,528.0,252,7,10,16.0
