35
M,TO,ti,di,ci,tip,xi,speed
Port of Bremerhaven,Port of Rotterdam,16.0,256.0,152,1,3,16.0
Port of Rotterdam,Port of Immingham,13.0,208.0,288,7,2,16.0
Port of Immingham,Port of Valletta,156.0,2496.0,287,1,45,16.0
Port of Valletta,Port of Piraeus,34.0,544.0,211,5,4,16.0
Port of Piraeus,Port of Brest,157.0,2512.0,278,3,38,16.0
Port of Brest,Port of Barcelona,94.0,1504.0,245,7,17,16.0
Port of Barcelona,Port of Livorno,25.0,400.0,221,9,3,16.0
Port of Livorno,Port of Baku,189.0,3024.0,349,5,16,16.0
Port of Baku,Port of Nikolaev,107.0,1712.0,318,8,29,16.0
Port of Nikolaev,Port of Sevastopol,12.0,192.0,263,7,2,16.0
Port of Sevastopol,Port of Venice,96.0,1536.0,163,5,22,16.0
Port of Venice,Port of Marseille,84.0,1344.0,264,3,15,16.0
Port of Marseille,Port of Genoa,14.0,224.0,356,9,0,16.0
Port of Genoa,Port of Napoli,23.0,368.0,241,5,4,16.0
Port of Napoli,Port of Lubeck,173.0,2768.0,214,2,2,16.0
Port of Lubeck,Port of Brussels,31.0,496.0,300,7,10,16.0
Port of Brussels,Felixstowe Port,9.0,144.0,280,2,0,16.0
Felixstowe Port,Port of Amsterdam,9.0,144.0,214,8,2,16.0
Port of Amsterdam,Port of Duisburg,7.0,112.0,254,6,1,16.0
Port of Duisburg,Port of Le Havre,23.0,368.0,241,9,6,16.0
Port of Le Havre,The Port of Ghent,14.0,224.0,300,3,3,16.0
The Port of Ghent,Scapa Flow,34.0,544.0,317,6,8,16.0
Scapa Flow,Port of Southampton,57.0,912.0,154,1,3,16.0
Port of Southampton,Port of Copenhagen,50.0,800.0,240,9,13,16.0
Port of Copenhagen,Freeport of Riga,29.0,464.0,323,3,8,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,269,2,0,16.0
Port of Helsinki,Klaipeda State Seaport,21.0,336.0,229,8,5,16.0
Klaipeda State Seaport,Port of Hamburg,31.0,496.0,338,4,5,16.0
Port of Hamburg,Port of London,27.0,432.0,294,2,5,16.0
Port of London,Port of Leith,26.0,416.0,238,4,4,16.0
Port of Leith,Port of Antwerp,27.0,432.0,233,6,0,16.0
Port of Antwerp,Copenhagen Malmo Port,42.0,672.0,261,6,10,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,183,4,2,16.0
Port of Gdansk,Port of Bremerhaven,27.0,432.0,356,2,8,16.0
