30
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Freeport of Riga,59.0,944.0,203,9,20,16.0
Freeport of Riga,Port of Gdynia,20.0,320.0,261,3,4,16.0
Port of Gdynia,Port of Lubeck,21.0,336.0,198,4,5,16.0
Port of Lubeck,Port of Rotterdam,25.0,400.0,243,4,1,16.0
Port of Rotterdam,Port of Helsinki,60.0,960.0,173,4,19,16.0
Port of Helsinki,Klaipeda State Seaport,21.0,336.0,191,4,2,16.0
Klaipeda State Seaport,Port of Copenhagen,20.0,320.0,116,7,3,16.0
Port of Copenhagen,Port of Antwerp,33.0,528.0,215,6,6,16.0
Port of Antwerp,Port of Southampton,15.0,240.0,230,9,4,16.0
Port of Southampton,Port of Le Havre,10.0,160.0,207,6,3,16.0
Port of Le Havre,Port of Brussels,17.0,272.0,247,3,2,16.0
Port of Brussels,Port of London,13.0,208.0,298,3,2,16.0
Port of London,Port of Immingham,14.0,224.0,261,3,2,16.0
Port of Immingham,Copenhagen Malmo Port,40.0,640.0,214,2,12,16.0
Copenhagen Malmo Port,Port of Barcelona,156.0,2496.0,244,5,11,16.0
Port of Barcelona,Port of Valletta,42.0,672.0,221,5,1,16.0
Port of Valletta,Port of Baku,164.0,2624.0,235,9,46,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,133,7,19,16.0
Port of Sevastopol,Port of Piraeus,47.0,752.0,205,3,13,16.0
Port of Piraeus,Port of Nikolaev,47.0,752.0,280,3,3,16.0
Port of Nikolaev,Port of Venice,101.0,1616.0,214,8,18,16.0
Port of Venice,Porto Marghera,1.0,16.0,241,3,0,16.0
Porto Marghera,Port of Genoa,82.0,1312.0,222,1,14,16.0
Port of Genoa,Port of Napoli,23.0,368.0,304,9,5,16.0
Port of Napoli,Port of Hamburg,167.0,2672.0,261,9,22,16.0
Port of Hamburg,Felixstowe Port,22.0,352.0,235,1,4,16.0
Felixstowe Port,Port of Bremerhaven,19.0,304.0,282,3,2,16.0
Port of Bremerhaven,Port of Leith,30.0,480.0,194,3,6,16.0
Port of Leith,Port of Duisburg,33.0,528.0,246,1,1,16.0
