15
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Port of Immingham,22.0,352.0,329,8,6,16.0
Port of Immingham,Port of Brest,33.0,528.0,320,5,6,16.0
Port of Brest,Port of Napoli,123.0,1968.0,236,1,42,16.0
Port of Napoli,Port of Baku,174.0,2784.0,184,1,59,16.0
Port of Baku,Port of Piraeus,133.0,2128.0,247,5,12,16.0
Port of Piraeus,Port of Marseille,75.0,1200.0,176,1,9,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,211,5,0,16.0
Port of Barcelona,Port of Lubeck,144.0,2304.0,274,6,0,16.0
Port of Lubeck,Port of Copenhagen,9.0,144.0,228,5,0,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,248,9,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,278,1,7,16.0
Port of Gdansk,Freeport of Riga,20.0,320.0,293,1,5,16.0
Freeport of Riga,Port of Hamburg,40.0,640.0,192,3,8,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,254,6,1,16.0
