25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Rotterdam,11.0,176.0,251,5,0,16.0
Port of Rotterdam,Port of Duisburg,8.0,128.0,306,7,0,16.0
Port of Duisburg,Port of Helsinki,64.0,1024.0,257,5,2,16.0
Port of Helsinki,Port of Southampton,73.0,1168.0,385,3,19,16.0
Port of Southampton,Scapa Flow,57.0,912.0,202,3,0,16.0
Scapa Flow,Port of Bremerhaven,36.0,576.0,242,4,9,16.0
Port of Bremerhaven,Port of Brest,41.0,656.0,233,5,12,16.0
Port of Brest,Port of Venice,169.0,2704.0,204,5,10,16.0
Port of Venice,Porto Marghera,1.0,16.0,244,4,0,16.0
Porto Marghera,Port of Valletta,48.0,768.0,200,9,6,16.0
Port of Valletta,Port of La Spezia,40.0,640.0,218,1,1,16.0
Port of La Spezia,Port of Piraeus,73.0,1168.0,234,8,15,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,267,1,22,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,259,3,2,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,167,9,1,16.0
Port of Nikolaev,Port of Barcelona,120.0,1920.0,239,7,2,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,251,6,2,16.0
Port of Napoli,The Port of Ghent,149.0,2384.0,277,4,4,16.0
The Port of Ghent,Port of Hamburg,23.0,368.0,248,3,4,16.0
Port of Hamburg,Port of Lubeck,4.0,64.0,194,8,0,16.0
Port of Lubeck,Port of Gdynia,21.0,336.0,286,5,0,16.0
Port of Gdynia,Klaipeda State Seaport,7.0,112.0,291,7,1,16.0
Klaipeda State Seaport,Freeport of Riga,14.0,224.0,214,6,1,16.0
Freeport of Riga,Port of London,62.0,992.0,302,9,8,16.0
