25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Rotterdam,11.0,176.0,212,5,3,16.0
Port of Rotterdam,Port of Duisburg,8.0,128.0,222,4,0,16.0
Port of Duisburg,Port of Helsinki,64.0,1024.0,257,4,10,16.0
Port of Helsinki,Port of Southampton,73.0,1168.0,221,1,14,16.0
Port of Southampton,Scapa Flow,57.0,912.0,217,6,15,16.0
Scapa Flow,Port of Bremerhaven,36.0,576.0,214,5,12,16.0
Port of Bremerhaven,Port of Brest,41.0,656.0,287,1,5,16.0
Port of Brest,Port of Venice,169.0,2704.0,250,2,31,16.0
Port of Venice,Porto Marghera,1.0,16.0,169,7,0,16.0
Porto Marghera,Port of Valletta,48.0,768.0,204,9,6,16.0
Port of Valletta,Port of La Spezia,40.0,640.0,227,1,0,16.0
Port of La Spezia,Port of Piraeus,73.0,1168.0,291,1,2,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,230,2,12,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,220,1,28,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,232,4,0,16.0
Port of Nikolaev,Port of Barcelona,120.0,1920.0,222,2,18,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,194,9,3,16.0
Port of Napoli,The Port of Ghent,149.0,2384.0,227,1,18,16.0
The Port of Ghent,Port of Hamburg,23.0,368.0,200,6,1,16.0
Port of Hamburg,Port of Lubeck,4.0,64.0,236,7,1,16.0
Port of Lubeck,Port of Gdynia,21.0,336.0,197,2,6,16.0
Port of Gdynia,Klaipeda State Seaport,7.0,112.0,240,9,0,16.0
Klaipeda State Seaport,Freeport of Riga,14.0,224.0,206,9,3,16.0
Freeport of Riga,Port of London,62.0,992.0,211,3,18,16.0
