25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Rotterdam,11.0,176.0,238,3,2,16.0
Port of Rotterdam,Port of Duisburg,8.0,128.0,248,5,0,16.0
Port of Duisburg,Port of Helsinki,64.0,1024.0,293,3,11,16.0
Port of Helsinki,Port of Southampton,73.0,1168.0,376,9,5,16.0
Port of Southampton,Scapa Flow,57.0,912.0,238,5,12,16.0
Scapa Flow,Port of Bremerhaven,36.0,576.0,294,7,9,16.0
Port of Bremerhaven,Port of Brest,41.0,656.0,330,6,4,16.0
Port of Brest,Port of Venice,169.0,2704.0,164,2,13,16.0
Port of Venice,Porto Marghera,1.0,16.0,182,4,0,16.0
Porto Marghera,Port of Valletta,48.0,768.0,264,6,0,16.0
Port of Valletta,Port of La Spezia,40.0,640.0,274,6,4,16.0
Port of La Spezia,Port of Piraeus,73.0,1168.0,242,6,21,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,254,9,38,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,167,2,6,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,257,2,2,16.0
Port of Nikolaev,Port of Barcelona,120.0,1920.0,346,3,7,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,245,5,9,16.0
Port of Napoli,The Port of Ghent,149.0,2384.0,260,8,14,16.0
The Port of Ghent,Port of Hamburg,23.0,368.0,318,5,5,16.0
Port of Hamburg,Port of Lubeck,4.0,64.0,240,5,1,16.0
Port of Lubeck,Port of Gdynia,21.0,336.0,301,8,4,16.0
Port of Gdynia,Klaipeda State Seaport,7.0,112.0,238,6,2,16.0
Klaipeda State Seaport,Freeport of Riga,14.0,224.0,307,4,1,16.0
Freeport of Riga,Port of London,62.0,992.0,250,2,22,16.0
