25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Rotterdam,11.0,176.0,270,8,3,16.0
Port of Rotterdam,Port of Duisburg,8.0,128.0,229,2,0,16.0
Port of Duisburg,Port of Helsinki,64.0,1024.0,228,2,0,16.0
Port of Helsinki,Port of Southampton,73.0,1168.0,289,6,6,16.0
Port of Southampton,Scapa Flow,57.0,912.0,255,3,3,16.0
Scapa Flow,Port of Bremerhaven,36.0,576.0,345,7,0,16.0
Port of Bremerhaven,Port of Brest,41.0,656.0,226,6,5,16.0
Port of Brest,Port of Venice,169.0,2704.0,298,8,17,16.0
Port of Venice,Porto Marghera,1.0,16.0,248,7,0,16.0
Porto Marghera,Port of Valletta,48.0,768.0,229,7,4,16.0
Port of Valletta,Port of La Spezia,40.0,640.0,298,1,4,16.0
Port of La Spezia,Port of Piraeus,73.0,1168.0,327,2,9,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,194,9,38,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,176,9,33,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,227,4,2,16.0
Port of Nikolaev,Port of Barcelona,120.0,1920.0,345,4,28,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,225,4,8,16.0
Port of Napoli,The Port of Ghent,149.0,2384.0,291,6,16,16.0
The Port of Ghent,Port of Hamburg,23.0,368.0,320,5,1,16.0
Port of Hamburg,Port of Lubeck,4.0,64.0,215,2,1,16.0
Port of Lubeck,Port of Gdynia,21.0,336.0,239,6,3,16.0
Port of Gdynia,Klaipeda State Seaport,7.0,112.0,318,8,2,16.0
Klaipeda State Seaport,Freeport of Riga,14.0,224.0,332,6,4,16.0
Freeport of Riga,Port of London,62.0,992.0,302,4,2,16.0
