15
M,TO,ti,di,ci,tip,xi,speed
Port of Duisburg,Port of Immingham,22.0,352.0,319,6,0,16.0
Port of Immingham,Port of Brest,33.0,528.0,258,1,11,16.0
Port of Brest,Port of Napoli,123.0,1968.0,237,8,13,16.0
Port of Napoli,Port of Baku,174.0,2784.0,291,8,48,16.0
Port of Baku,Port of Piraeus,133.0,2128.0,302,4,15,16.0
Port of Piraeus,Port of Marseille,75.0,1200.0,261,9,20,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,215,5,4,16.0
Port of Barcelona,Port of Lubeck,144.0,2304.0,216,4,23,16.0
Port of Lubeck,Port of Copenhagen,9.0,144.0,279,6,3,16.0
Port of Copenhagen,Copenhagen Malmo Port,0.0,0.0,288,8,0,16.0
Copenhagen Malmo Port,Port of Gdansk,20.0,320.0,182,1,2,16.0
Port of Gdansk,Freeport of Riga,20.0,320.0,342,2,2,16.0
Freeport of Riga,Port of Hamburg,40.0,640.0,265,3,5,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,224,6,6,16.0
