35
M,TO,ti,di,ci,tip,xi,speed
Port of Leith,Port of Brussels,29.0,464.0,303,7,2,16.0
Port of Brussels,Klaipeda State Seaport,52.0,832.0,237,7,3,16.0
Klaipeda State Seaport,Felixstowe Port,49.0,784.0,253,8,3,16.0
Felixstowe Port,Port of London,4.0,64.0,286,9,0,16.0
Port of London,Port of Duisburg,20.0,320.0,303,5,1,16.0
Port of Duisburg,Port of Immingham,22.0,352.0,329,2,1,16.0
Port of Immingham,Port of Amsterdam,13.0,208.0,156,8,0,16.0
Port of Amsterdam,Port of Rotterdam,4.0,64.0,246,7,0,16.0
Port of Rotterdam,Port of La Spezia,147.0,2352.0,278,1,7,16.0
Port of La Spezia,Porto Marghera,86.0,1376.0,198,7,13,16.0
Porto Marghera,Port of Venice,1.0,16.0,321,9,0,16.0
Port of Venice,Port of Valletta,48.0,768.0,248,2,1,16.0
Port of Valletta,Port of Sevastopol,73.0,1168.0,336,9,9,16.0
Port of Sevastopol,Port of Napoli,88.0,1408.0,306,7,7,16.0
Port of Napoli,Port of Le Havre,138.0,2208.0,344,3,7,16.0
Port of Le Havre,Freeport of Riga,67.0,1072.0,235,2,4,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,307,4,1,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,245,7,4,16.0
Port of Copenhagen,Scapa Flow,48.0,768.0,169,4,2,16.0
Scapa Flow,Copenhagen Malmo Port,48.0,768.0,170,6,0,16.0
Copenhagen Malmo Port,Port of Brest,64.0,1024.0,346,7,6,16.0
Port of Brest,Port of Southampton,15.0,240.0,266,7,0,16.0
Port of Southampton,Port of Bremerhaven,28.0,448.0,258,7,3,16.0
Port of Bremerhaven,Port of Lubeck,12.0,192.0,276,4,1,16.0
Port of Lubeck,Port of Gdansk,21.0,336.0,259,2,3,16.0
Port of Gdansk,The Port of Ghent,45.0,720.0,288,6,0,16.0
The Port of Ghent,Port of Antwerp,2.0,32.0,264,6,0,16.0
Port of Antwerp,Port of Barcelona,120.0,1920.0,235,5,17,16.0
Port of Barcelona,Port of Livorno,25.0,400.0,223,4,0,16.0
Port of Livorno,Port of Genoa,5.0,80.0,318,9,0,16.0
Port of Genoa,Port of Baku,195.0,3120.0,167,5,7,16.0
Port of Baku,Port of Nikolaev,107.0,1712.0,204,3,3,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,88,5,2,16.0
Port of Piraeus,Port of Leith,201.0,3216.0,225,6,12,16.0
