35
M,TO,ti,di,ci,tip,xi,speed
Port of Leith,Port of Brussels,29.0,464.0,263,2,1,16.0
Port of Brussels,Klaipeda State Seaport,52.0,832.0,230,4,3,16.0
Klaipeda State Seaport,Felixstowe Port,49.0,784.0,311,8,0,16.0
Felixstowe Port,Port of London,4.0,64.0,279,3,0,16.0
Port of London,Port of Duisburg,20.0,320.0,375,9,1,16.0
Port of Duisburg,Port of Immingham,22.0,352.0,143,4,0,16.0
Port of Immingham,Port of Amsterdam,13.0,208.0,187,6,0,16.0
Port of Amsterdam,Port of Rotterdam,4.0,64.0,221,5,0,16.0
Port of Rotterdam,Port of La Spezia,147.0,2352.0,225,3,17,16.0
Port of La Spezia,Porto Marghera,86.0,1376.0,307,9,8,16.0
Porto Marghera,Port of Venice,1.0,16.0,240,2,0,16.0
Port of Venice,Port of Valletta,48.0,768.0,233,1,2,16.0
Port of Valletta,Port of Sevastopol,73.0,1168.0,231,1,8,16.0
Port of Sevastopol,Port of Napoli,88.0,1408.0,192,8,11,16.0
Port of Napoli,Port of Le Havre,138.0,2208.0,299,7,8,16.0
Port of Le Havre,Freeport of Riga,67.0,1072.0,268,8,0,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,276,1,1,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,214,3,1,16.0
Port of Copenhagen,Scapa Flow,48.0,768.0,195,8,3,16.0
Scapa Flow,Copenhagen Malmo Port,48.0,768.0,264,5,6,16.0
Copenhagen Malmo Port,Port of Brest,64.0,1024.0,286,5,4,16.0
Port of Brest,Port of Southampton,15.0,240.0,301,7,2,16.0
Port of Southampton,Port of Bremerhaven,28.0,448.0,241,8,1,16.0
Port of Bremerhaven,Port of Lubeck,12.0,192.0,275,1,0,16.0
Port of Lubeck,Port of Gdansk,21.0,336.0,234,8,2,16.0
Port of Gdansk,The Port of Ghent,45.0,720.0,251,8,3,16.0
The Port of Ghent,Port of Antwerp,2.0,32.0,272,5,0,16.0
Port of Antwerp,Port of Barcelona,120.0,1920.0,188,1,11,16.0
Port of Barcelona,Port of Livorno,25.0,400.0,254,8,3,16.0
Port of Livorno,Port of Genoa,5.0,80.0,224,5,0,16.0
Port of Genoa,Port of Baku,195.0,3120.0,238,1,4,16.0
Port of Baku,Port of Nikolaev,107.0,1712.0,278,6,14,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,142,4,4,16.0
Port of Piraeus,Port of Leith,201.0,3216.0,213,6,0,16.0
