30
M,TO,ti,di,ci,tip,xi,speed
Freeport of Riga,Port of La Spezia,196.0,3136.0,241,5,25,16.0
Port of La Spezia,Port of Genoa,3.0,48.0,308,6,0,16.0
Port of Genoa,Port of Napoli,23.0,368.0,208,1,1,16.0
Port of Napoli,Port of Sevastopol,88.0,1408.0,225,3,7,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,257,8,1,16.0
Port of Nikolaev,Porto Marghera,101.0,1616.0,120,1,11,16.0
Porto Marghera,Port of Piraeus,57.0,912.0,227,8,8,16.0
Port of Piraeus,Port of Valletta,34.0,544.0,248,1,3,16.0
Port of Valletta,Port of Barcelona,42.0,672.0,155,7,0,16.0
Port of Barcelona,Port of Antwerp,120.0,1920.0,200,2,3,16.0
Port of Antwerp,Port of Copenhagen,33.0,528.0,243,2,3,16.0
Port of Copenhagen,Klaipeda State Seaport,20.0,320.0,192,8,1,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,263,9,0,16.0
Port of Gdynia,Port of Lubeck,21.0,336.0,267,8,1,16.0
Port of Lubeck,Copenhagen Malmo Port,9.0,144.0,335,4,0,16.0
Copenhagen Malmo Port,Port of Amsterdam,37.0,592.0,284,9,4,16.0
Port of Amsterdam,Port of Immingham,13.0,208.0,261,1,2,16.0
Port of Immingham,Port of Le Havre,20.0,320.0,221,9,1,16.0
Port of Le Havre,Port of Southampton,10.0,160.0,288,7,0,16.0
Port of Southampton,Scapa Flow,57.0,912.0,306,2,7,16.0
Scapa Flow,Port of London,35.0,560.0,263,6,0,16.0
Port of London,Port of Brussels,13.0,208.0,302,3,1,16.0
Port of Brussels,The Port of Ghent,4.0,64.0,194,1,0,16.0
The Port of Ghent,Port of Leith,26.0,416.0,239,5,3,16.0
Port of Leith,Felixstowe Port,21.0,336.0,288,6,0,16.0
Felixstowe Port,Port of Rotterdam,7.0,112.0,217,3,0,16.0
Port of Rotterdam,Port of Hamburg,19.0,304.0,215,3,2,16.0
Port of Hamburg,Port of Bremerhaven,5.0,80.0,139,2,0,16.0
Port of Bremerhaven,Freeport of Riga,40.0,640.0,271,2,4,16.0
