35
M,TO,ti,di,ci,tip,xi,speed
Port of Leith,Port of Brussels,29.0,464.0,170,7,3,16.0
Port of Brussels,Klaipeda State Seaport,52.0,832.0,294,1,6,16.0
Klaipeda State Seaport,Felixstowe Port,49.0,784.0,238,6,6,16.0
Felixstowe Port,Port of London,4.0,64.0,309,9,0,16.0
Port of London,Port of Duisburg,20.0,320.0,263,9,2,16.0
Port of Duisburg,Port of Immingham,22.0,352.0,220,1,0,16.0
Port of Immingham,Port of Amsterdam,13.0,208.0,257,8,1,16.0
Port of Amsterdam,Port of Rotterdam,4.0,64.0,244,3,0,16.0
Port of Rotterdam,Port of La Spezia,147.0,2352.0,355,1,7,16.0
Port of La Spezia,Porto Marghera,86.0,1376.0,205,9,5,16.0
Porto Marghera,Port of Venice,1.0,16.0,274,7,0,16.0
Port of Venice,Port of Valletta,48.0,768.0,182,6,1,16.0
Port of Valletta,Port of Sevastopol,73.0,1168.0,342,7,1,16.0
Port of Sevastopol,Port of Napoli,88.0,1408.0,255,9,7,16.0
Port of Napoli,Port of Le Havre,138.0,2208.0,190,4,3,16.0
Port of Le Havre,Freeport of Riga,67.0,1072.0,218,3,0,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,314,4,1,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,268,5,1,16.0
Port of Copenhagen,Scapa Flow,48.0,768.0,208,3,2,16.0
Scapa Flow,Copenhagen Malmo Port,48.0,768.0,191,5,5,16.0
Copenhagen Malmo Port,Port of Brest,64.0,1024.0,296,5,8,16.0
Port of Brest,Port of Southampton,15.0,240.0,181,7,1,16.0
Port of Southampton,Port of Bremerhaven,28.0,448.0,266,4,4,16.0
Port of Bremerhaven,Port of Lubeck,12.0,192.0,271,5,0,16.0
Port of Lubeck,Port of Gdansk,21.0,336.0,244,9,1,16.0
Port of Gdansk,The Port of Ghent,45.0,720.0,264,5,2,16.0
The Port of Ghent,Port of Antwerp,2.0,32.0,228,3,0,16.0
Port of Antwerp,Port of Barcelona,120.0,1920.0,261,9,19,16.0
Port of Barcelona,Port of Livorno,25.0,400.0,334,3,2,16.0
Port of Livorno,Port of Genoa,5.0,80.0,232,9,0,16.0
Port of Genoa,Port of Baku,195.0,3120.0,270,3,23,16.0
Port of Baku,Port of Nikolaev,107.0,1712.0,249,9,14,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,255,9,6,16.0
Port of Piraeus,Port of Leith,201.0,3216.0,244,4,13,16.0
