25
M,TO,ti,di,ci,tip,xi,speed
Port of Gdansk,Port of Helsinki,26.0,416.0,238,3,2,16.0
Port of Helsinki,Port of Southampton,73.0,1168.0,199,2,0,16.0
Port of Southampton,Klaipeda State Seaport,58.0,928.0,238,3,0,16.0
Klaipeda State Seaport,Copenhagen Malmo Port,20.0,320.0,191,4,0,16.0
Copenhagen Malmo Port,Port of Lubeck,9.0,144.0,246,4,1,16.0
Port of Lubeck,Port of Brest,52.0,832.0,232,1,4,16.0
Port of Brest,Port of Genoa,115.0,1840.0,369,3,11,16.0
Port of Genoa,Port of Marseille,14.0,224.0,222,1,0,16.0
Port of Marseille,Port of La Spezia,16.0,256.0,216,2,1,16.0
Port of La Spezia,Port of Napoli,27.0,432.0,285,7,1,16.0
Port of Napoli,Port of Piraeus,44.0,704.0,225,6,2,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,235,2,19,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,292,9,5,16.0
Port of Sevastopol,Port of Venice,96.0,1536.0,223,9,1,16.0
Port of Venice,Felixstowe Port,192.0,3072.0,266,8,5,16.0
Felixstowe Port,Scapa Flow,30.0,480.0,233,1,0,16.0
Scapa Flow,Port of Copenhagen,48.0,768.0,307,9,6,16.0
Port of Copenhagen,Port of Duisburg,43.0,688.0,230,6,3,16.0
Port of Duisburg,Port of Immingham,22.0,352.0,246,9,1,16.0
Port of Immingham,Port of Leith,14.0,224.0,236,5,1,16.0
Port of Leith,Port of Le Havre,32.0,512.0,221,3,3,16.0
Port of Le Havre,Port of Amsterdam,17.0,272.0,208,2,1,16.0
Port of Amsterdam,The Port of Ghent,7.0,112.0,213,4,0,16.0
The Port of Ghent,Port of Gdansk,45.0,720.0,224,9,5,16.0
