15
M,TO,ti,di,ci,tip,xi,speed
Klaipeda State Seaport,Port of Bremerhaven,31.0,496.0,326,2,0,16.0
Port of Bremerhaven,Port of Leith,30.0,480.0,233,5,0,16.0
Port of Leith,Scapa Flow,13.0,208.0,284,4,1,16.0
Scapa Flow,Port of Immingham,22.0,352.0,257,3,2,16.0
Port of Immingham,Felixstowe Port,9.0,144.0,253,9,0,16.0
Felixstowe Port,Port of Amsterdam,9.0,144.0,176,7,1,16.0
Port of Amsterdam,Port of Antwerp,8.0,128.0,257,8,0,16.0
Port of Antwerp,Port of Barcelona,120.0,1920.0,258,9,4,16.0
Port of Barcelona,Port of Piraeus,75.0,1200.0,278,5,8,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,225,8,18,16.0
Port of Baku,Port of Brest,288.0,4608.0,283,7,4,16.0
Port of Brest,Port of Southampton,15.0,240.0,260,7,0,16.0
Port of Southampton,Port of Le Havre,10.0,160.0,367,9,0,16.0
Port of Le Havre,Klaipeda State Seaport,58.0,928.0,264,9,4,16.0
