30
M,TO,ti,di,ci,tip,xi,speed
Port of Livorno,Port of Bremerhaven,157.0,2512.0,242,6,12,16.0
Port of Bremerhaven,Port of Hamburg,5.0,80.0,299,3,0,16.0
Port of Hamburg,Port of Southampton,32.0,512.0,228,6,0,16.0
Port of Southampton,Port of Napoli,139.0,2224.0,282,6,8,16.0
Port of Napoli,Port of Sevastopol,88.0,1408.0,226,4,7,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,246,9,0,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,194,5,2,16.0
Port of Piraeus,Port of Genoa,69.0,1104.0,225,1,3,16.0
Port of Genoa,Port of La Spezia,3.0,48.0,135,6,0,16.0
Port of La Spezia,Port of Marseille,16.0,256.0,236,9,0,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,173,1,0,16.0
Port of Barcelona,Port of Brest,94.0,1504.0,204,3,6,16.0
Port of Brest,Port of Gdansk,67.0,1072.0,230,5,2,16.0
Port of Gdansk,Port of Duisburg,45.0,720.0,199,1,3,16.0
Port of Duisburg,Port of Antwerp,13.0,208.0,282,2,1,16.0
Port of Antwerp,Port of Immingham,15.0,240.0,341,8,0,16.0
Port of Immingham,Felixstowe Port,9.0,144.0,132,5,0,16.0
Felixstowe Port,Port of Rotterdam,7.0,112.0,158,8,0,16.0
Port of Rotterdam,Port of Helsinki,60.0,960.0,271,4,2,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,191,3,2,16.0
Port of Copenhagen,Klaipeda State Seaport,20.0,320.0,190,2,1,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,253,4,0,16.0
Port of Gdynia,The Port of Ghent,45.0,720.0,93,5,0,16.0
The Port of Ghent,Scapa Flow,34.0,544.0,315,2,0,16.0
Scapa Flow,Port of Amsterdam,31.0,496.0,272,8,1,16.0
Port of Amsterdam,Port of Valletta,153.0,2448.0,285,9,10,16.0
Port of Valletta,Porto Marghera,48.0,768.0,155,9,2,16.0
Porto Marghera,Port of Venice,1.0,16.0,191,2,0,16.0
Port of Venice,Port of Livorno,68.0,1088.0,289,2,6,16.0
