15
M,TO,ti,di,ci,tip,xi,speed
Port of Leith,Port of Le Havre,32.0,512.0,236,5,2,16.0
Port of Le Havre,Port of Southampton,10.0,160.0,215,4,0,16.0
Port of Southampton,Port of La Spezia,136.0,2176.0,241,5,7,16.0
Port of La Spezia,Port of Livorno,2.0,32.0,304,9,0,16.0
Port of Livorno,Port of Napoli,18.0,288.0,257,3,1,16.0
Port of Napoli,Port of Venice,53.0,848.0,250,1,2,16.0
Port of Venice,Porto Marghera,1.0,16.0,219,6,0,16.0
Porto Marghera,Port of Sevastopol,96.0,1536.0,197,8,3,16.0
Port of Sevastopol,Port of Baku,95.0,1520.0,324,1,7,16.0
Port of Baku,Port of Hamburg,332.0,5312.0,332,3,22,16.0
Port of Hamburg,Copenhagen Malmo Port,15.0,240.0,273,1,0,16.0
Copenhagen Malmo Port,Port of Copenhagen,0.0,0.0,230,5,0,16.0
Port of Copenhagen,Port of Lubeck,9.0,144.0,163,9,0,16.0
Port of Lubeck,Port of Leith,46.0,736.0,224,6,3,16.0
