35
M,TO,ti,di,ci,tip,xi,speed
Port of Immingham,Felixstowe Port,9.0,144.0,265,4,0,16.0
Felixstowe Port,Port of Helsinki,63.0,1008.0,322,2,4,16.0
Port of Helsinki,Port of Bremerhaven,46.0,736.0,280,3,2,16.0
Port of Bremerhaven,Port of Antwerp,19.0,304.0,188,7,0,16.0
Port of Antwerp,Port of Copenhagen,33.0,528.0,275,3,1,16.0
Port of Copenhagen,Port of Gdansk,20.0,320.0,181,8,0,16.0
Port of Gdansk,Port of Southampton,54.0,864.0,302,2,1,16.0
Port of Southampton,Port of Piraeus,174.0,2784.0,216,6,9,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,282,6,10,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,318,3,1,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,244,3,0,16.0
Port of Nikolaev,Port of La Spezia,118.0,1888.0,212,2,10,16.0
Port of La Spezia,Port of Barcelona,24.0,384.0,171,7,0,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,270,4,2,16.0
Port of Napoli,Port of Valletta,24.0,384.0,222,5,0,16.0
Port of Valletta,Port of Hamburg,167.0,2672.0,114,6,4,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,166,2,0,16.0
Port of Duisburg,Port of Rotterdam,8.0,128.0,271,8,0,16.0
Port of Rotterdam,The Port of Ghent,5.0,80.0,313,7,0,16.0
The Port of Ghent,Port of Leith,26.0,416.0,189,2,0,16.0
Port of Leith,Port of Le Havre,32.0,512.0,245,5,2,16.0
Port of Le Havre,Port of Brest,16.0,256.0,206,8,0,16.0
Port of Brest,Port of Genoa,115.0,1840.0,212,7,0,16.0
Port of Genoa,Port of Livorno,5.0,80.0,279,3,0,16.0
Port of Livorno,Porto Marghera,69.0,1104.0,312,3,5,16.0
Porto Marghera,Port of Venice,1.0,16.0,109,7,0,16.0
Port of Venice,Port of Amsterdam,198.0,3168.0,222,1,3,16.0
Port of Amsterdam,Copenhagen Malmo Port,37.0,592.0,189,1,1,16.0
Copenhagen Malmo Port,Port of Brussels,44.0,704.0,186,1,2,16.0
Port of Brussels,Port of Lubeck,31.0,496.0,157,1,1,16.0
Port of Lubeck,Freeport of Riga,34.0,544.0,288,4,1,16.0
Freeport of Riga,Klaipeda State Seaport,14.0,224.0,215,6,0,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,179,1,0,16.0
Port of Gdynia,Port of Immingham,46.0,736.0,313,3,0,16.0
