25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Immingham,14.0,224.0,236,2,1,16.0
Port of Immingham,Klaipeda State Seaport,50.0,800.0,203,7,3,16.0
Klaipeda State Seaport,Port of Gdansk,7.0,112.0,288,2,0,16.0
Port of Gdansk,Copenhagen Malmo Port,20.0,320.0,286,1,1,16.0
Copenhagen Malmo Port,Freeport of Riga,35.0,560.0,166,9,1,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,201,9,1,16.0
Port of Helsinki,Port of Amsterdam,57.0,912.0,302,2,0,16.0
Port of Amsterdam,Felixstowe Port,9.0,144.0,152,7,0,16.0
Felixstowe Port,Port of Le Havre,11.0,176.0,216,5,0,16.0
Port of Le Havre,Port of Hamburg,32.0,512.0,252,4,0,16.0
Port of Hamburg,Port of Rotterdam,19.0,304.0,245,2,0,16.0
Port of Rotterdam,Port of Brussels,8.0,128.0,222,3,0,16.0
Port of Brussels,Port of Antwerp,1.0,16.0,274,7,0,16.0
Port of Antwerp,Port of Copenhagen,33.0,528.0,284,2,2,16.0
Port of Copenhagen,Scapa Flow,48.0,768.0,294,9,3,16.0
Scapa Flow,Port of Genoa,167.0,2672.0,250,4,6,16.0
Port of Genoa,Port of Marseille,14.0,224.0,289,1,0,16.0
Port of Marseille,Porto Marghera,84.0,1344.0,246,6,3,16.0
Porto Marghera,Port of Venice,1.0,16.0,356,1,0,16.0
Port of Venice,Port of Livorno,68.0,1088.0,223,1,2,16.0
Port of Livorno,Port of Valletta,37.0,592.0,247,2,1,16.0
Port of Valletta,Port of Piraeus,34.0,544.0,295,1,0,16.0
Port of Piraeus,Port of Sevastopol,47.0,752.0,255,7,3,16.0
Port of Sevastopol,Port of London,227.0,3632.0,161,3,11,16.0
