30
M,TO,ti,di,ci,tip,xi,speed
Port of Livorno,Port of Bremerhaven,157.0,2512.0,285,1,8,16.0
Port of Bremerhaven,Port of Hamburg,5.0,80.0,249,7,0,16.0
Port of Hamburg,Port of Southampton,32.0,512.0,273,4,2,16.0
Port of Southampton,Port of Napoli,139.0,2224.0,305,1,3,16.0
Port of Napoli,Port of Sevastopol,88.0,1408.0,242,2,5,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,267,2,0,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,329,8,0,16.0
Port of Piraeus,Port of Genoa,69.0,1104.0,254,9,0,16.0
Port of Genoa,Port of La Spezia,3.0,48.0,280,1,0,16.0
Port of La Spezia,Port of Marseille,16.0,256.0,226,8,0,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,328,6,0,16.0
Port of Barcelona,Port of Brest,94.0,1504.0,330,4,5,16.0
Port of Brest,Port of Gdansk,67.0,1072.0,227,1,3,16.0
Port of Gdansk,Port of Duisburg,45.0,720.0,262,7,0,16.0
Port of Duisburg,Port of Antwerp,13.0,208.0,250,3,0,16.0
Port of Antwerp,Port of Immingham,15.0,240.0,202,5,0,16.0
Port of Immingham,Felixstowe Port,9.0,144.0,332,1,0,16.0
Felixstowe Port,Port of Rotterdam,7.0,112.0,248,1,0,16.0
Port of Rotterdam,Port of Helsinki,60.0,960.0,279,6,4,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,235,9,1,16.0
Port of Copenhagen,Klaipeda State Seaport,20.0,320.0,261,7,1,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,207,4,0,16.0
Port of Gdynia,The Port of Ghent,45.0,720.0,257,9,3,16.0
The Port of Ghent,Scapa Flow,34.0,544.0,301,2,1,16.0
Scapa Flow,Port of Amsterdam,31.0,496.0,169,5,1,16.0
Port of Amsterdam,Port of Valletta,153.0,2448.0,186,9,5,16.0
Port of Valletta,Porto Marghera,48.0,768.0,167,6,4,16.0
Porto Marghera,Port of Venice,1.0,16.0,317,1,0,16.0
Port of Venice,Port of Livorno,68.0,1088.0,207,8,4,16.0
