35
M,TO,ti,di,ci,tip,xi,speed
Port of Immingham,Felixstowe Port,9.0,144.0,290,2,0,16.0
Felixstowe Port,Port of Helsinki,63.0,1008.0,300,8,0,16.0
Port of Helsinki,Port of Bremerhaven,46.0,736.0,238,4,0,16.0
Port of Bremerhaven,Port of Antwerp,19.0,304.0,262,1,1,16.0
Port of Antwerp,Port of Copenhagen,33.0,528.0,318,3,2,16.0
Port of Copenhagen,Port of Gdansk,20.0,320.0,281,3,0,16.0
Port of Gdansk,Port of Southampton,54.0,864.0,333,3,2,16.0
Port of Southampton,Port of Piraeus,174.0,2784.0,284,5,4,16.0
Port of Piraeus,Port of Baku,133.0,2128.0,301,7,9,16.0
Port of Baku,Port of Sevastopol,95.0,1520.0,215,8,6,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,287,4,0,16.0
Port of Nikolaev,Port of La Spezia,118.0,1888.0,226,8,0,16.0
Port of La Spezia,Port of Barcelona,24.0,384.0,217,8,2,16.0
Port of Barcelona,Port of Napoli,40.0,640.0,316,8,1,16.0
Port of Napoli,Port of Valletta,24.0,384.0,134,7,1,16.0
Port of Valletta,Port of Hamburg,167.0,2672.0,284,4,9,16.0
Port of Hamburg,Port of Duisburg,23.0,368.0,229,4,0,16.0
Port of Duisburg,Port of Rotterdam,8.0,128.0,258,4,0,16.0
Port of Rotterdam,The Port of Ghent,5.0,80.0,305,8,0,16.0
The Port of Ghent,Port of Leith,26.0,416.0,277,4,1,16.0
Port of Leith,Port of Le Havre,32.0,512.0,195,3,2,16.0
Port of Le Havre,Port of Brest,16.0,256.0,210,5,0,16.0
Port of Brest,Port of Genoa,115.0,1840.0,358,1,4,16.0
Port of Genoa,Port of Livorno,5.0,80.0,351,4,0,16.0
Port of Livorno,Porto Marghera,69.0,1104.0,336,8,3,16.0
Porto Marghera,Port of Venice,1.0,16.0,155,2,0,16.0
Port of Venice,Port of Amsterdam,198.0,3168.0,309,6,13,16.0
Port of Amsterdam,Copenhagen Malmo Port,37.0,592.0,228,4,2,16.0
Copenhagen Malmo Port,Port of Brussels,44.0,704.0,294,2,3,16.0
Port of Brussels,Port of Lubeck,31.0,496.0,253,6,0,16.0
Port of Lubeck,Freeport of Riga,34.0,544.0,221,5,0,16.0
Freeport of Riga,Klaipeda State Seaport,14.0,224.0,168,8,1,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,244,3,0,16.0
Port of Gdynia,Port of Immingham,46.0,736.0,376,6,3,16.0
