30
M,TO,ti,di,ci,tip,xi,speed
Port of Livorno,Port of Bremerhaven,157.0,2512.0,249,8,11,16.0
Port of Bremerhaven,Port of Hamburg,5.0,80.0,283,1,0,16.0
Port of Hamburg,Port of Southampton,32.0,512.0,219,3,0,16.0
Port of Southampton,Port of Napoli,139.0,2224.0,344,2,12,16.0
Port of Napoli,Port of Sevastopol,88.0,1408.0,273,2,7,16.0
Port of Sevastopol,Port of Nikolaev,12.0,192.0,285,6,0,16.0
Port of Nikolaev,Port of Piraeus,47.0,752.0,180,4,0,16.0
Port of Piraeus,Port of Genoa,69.0,1104.0,249,1,3,16.0
Port of Genoa,Port of La Spezia,3.0,48.0,270,2,0,16.0
Port of La Spezia,Port of Marseille,16.0,256.0,180,4,0,16.0
Port of Marseille,Port of Barcelona,12.0,192.0,243,4,0,16.0
Port of Barcelona,Port of Brest,94.0,1504.0,303,8,1,16.0
Port of Brest,Port of Gdansk,67.0,1072.0,263,9,4,16.0
Port of Gdansk,Port of Duisburg,45.0,720.0,230,6,2,16.0
Port of Duisburg,Port of Antwerp,13.0,208.0,325,3,1,16.0
Port of Antwerp,Port of Immingham,15.0,240.0,254,3,1,16.0
Port of Immingham,Felixstowe Port,9.0,144.0,185,1,0,16.0
Felixstowe Port,Port of Rotterdam,7.0,112.0,225,7,0,16.0
Port of Rotterdam,Port of Helsinki,60.0,960.0,197,6,1,16.0
Port of Helsinki,Port of Copenhagen,36.0,576.0,177,3,1,16.0
Port of Copenhagen,Klaipeda State Seaport,20.0,320.0,239,7,0,16.0
Klaipeda State Seaport,Port of Gdynia,7.0,112.0,271,9,0,16.0
Port of Gdynia,The Port of Ghent,45.0,720.0,243,8,2,16.0
The Port of Ghent,Scapa Flow,34.0,544.0,194,1,2,16.0
Scapa Flow,Port of Amsterdam,31.0,496.0,267,6,0,16.0
Port of Amsterdam,Port of Valletta,153.0,2448.0,212,3,3,16.0
Port of Valletta,Porto Marghera,48.0,768.0,226,8,1,16.0
Porto Marghera,Port of Venice,1.0,16.0,286,8,0,16.0
Port of Venice,Port of Livorno,68.0,1088.0,271,8,0,16.0
