25
M,TO,ti,di,ci,tip,xi,speed
Port of London,Port of Immingham,14.0,224.0,265,4,0,16.0
Port of Immingham,Klaipeda State Seaport,50.0,800.0,346,8,2,16.0
Klaipeda State Seaport,Port of Gdansk,7.0,112.0,229,1,0,16.0
Port of Gdansk,Copenhagen Malmo Port,20.0,320.0,251,7,0,16.0
Copenhagen Malmo Port,Freeport of Riga,35.0,560.0,312,4,0,16.0
Freeport of Riga,Port of Helsinki,13.0,208.0,148,2,1,16.0
Port of Helsinki,Port of Amsterdam,57.0,912.0,225,1,0,16.0
Port of Amsterdam,Felixstowe Port,9.0,144.0,243,6,0,16.0
Felixstowe Port,Port of Le Havre,11.0,176.0,172,1,0,16.0
Port of Le Havre,Port of Hamburg,32.0,512.0,239,3,1,16.0
Port of Hamburg,Port of Rotterdam,19.0,304.0,288,2,0,16.0
Port of Rotterdam,Port of Brussels,8.0,128.0,244,7,0,16.0
Port of Brussels,Port of Antwerp,1.0,16.0,268,1,0,16.0
Port of Antwerp,Port of Copenhagen,33.0,528.0,218,2,1,16.0
Port of Copenhagen,Scapa Flow,48.0,768.0,221,4,3,16.0
Scapa Flow,Port of Genoa,167.0,2672.0,154,5,3,16.0
Port of Genoa,Port of Marseille,14.0,224.0,330,1,0,16.0
Port of Marseille,Porto Marghera,84.0,1344.0,266,4,4,16.0
Porto Marghera,Port of Venice,1.0,16.0,243,1,0,16.0
Port of Venice,Port of Livorno,68.0,1088.0,296,2,2,16.0
Port of Livorno,Port of Valletta,37.0,592.0,311,7,0,16.0
Port of Valletta,Port of Piraeus,34.0,544.0,276,9,0,16.0
Port of Piraeus,Port of Sevastopol,47.0,752.0,211,3,1,16.0
Port of Sevastopol,Port of London,227.0,3632.0,299,8,19,16.0
