15
M,TO,ti,di,ci,tip,xi,speed
Port of Le Havre,Port of Sevastopol,217.3125,3477.0,339,6,22,16.0
Port of Sevastopol,Port of Marseille,120.29611111111113,1924.7377777777767,232,3,6,16.0
Port of Marseille,Port of Genoa,14.564166666666667,233.02666666666667,328,7,2,16.0
Port of Genoa,Port of New Haven,255.7044444444444,4091.2711111111107,222,9,88,16.0
Port of New Haven,Port of Elizabeth,12.496388888888893,199.94222222222226,283,2,4,16.0
Port of Elizabeth,Port of Los Angeles,315.47972222222216,5047.675555555557,261,3,48,16.0
Port of Los Angeles,Port of Oakland,26.88083333333333,430.09333333333336,212,2,5,16.0
Port of Oakland,Port of Houston,309.93333333333334,4958.933333333333,253,9,65,16.0
Port of Houston,Port of Mobile,29.603055555555557,473.64888888888885,218,4,0,16.0
Port of Mobile,Port of Havana,40.939722222222215,655.0355555555557,350,9,9,16.0
Port of Havana,St Lawrence Seaway,177.52583333333337,2840.413333333333,277,3,46,16.0
St Lawrence Seaway,Port of Hamburg,222.20916666666668,3555.346666666667,271,8,0,16.0
Port of Hamburg,Port of Leith,33.94333333333333,543.0933333333334,316,5,4,16.0
Port of Leith,Port of Le Havre,32.7275,523.64,293,2,7,16.0
