25
M,TO,ti,di,ci,tip,xi,speed
Port of Amsterdam,Copenhagen Malmo Port,37.05277777777777,592.8444444444443,243,4,12,16.0
Copenhagen Malmo Port,Port of Piraeus,219.88222222222225,3518.115555555556,305,9,35,16.0
Port of Piraeus,Port of Baku,133.21166666666667,2131.3866666666668,272,4,29,16.0
Port of Baku,Port of Sevastopol,95.12305555555555,1521.9688888888888,175,7,33,16.0
Port of Sevastopol,Port of Livorno,104.63222222222224,1674.1155555555554,300,4,29,16.0
Port of Livorno,Port of Mobile,345.7447222222222,5531.915555555555,285,3,114,16.0
Port of Mobile,Port of Houston,29.603055555555557,473.64888888888885,211,8,7,16.0
Port of Houston,Port of San Francisco,309.6802777777778,4954.884444444445,298,7,65,16.0
Port of San Francisco,Port of Oakland,0.4255555555555556,6.808888888888887,262,5,0,16.0
Port of Oakland,Port of Los Angeles,26.88083333333333,430.09333333333336,280,6,7,16.0
Port of Los Angeles,Port of Newport News,304.96027777777783,4879.364444444444,215,1,87,16.0
Port of Newport News,Port of Immingham,249.87555555555562,3998.008888888889,288,7,48,16.0
Port of Immingham,Klaipeda State Seaport,50.5225,808.36,240,6,10,16.0
Klaipeda State Seaport,Freeport of Riga,14.133888888888887,226.14222222222224,231,7,0,16.0
Freeport of Riga,Port of London,62.99,1007.84,330,4,2,16.0
Port of London,Port of Brussels,13.919722222222221,222.71555555555562,215,8,3,16.0
Port of Brussels,The Port of Ghent,4.458333333333333,71.33333333333333,284,4,0,16.0
The Port of Ghent,St Lawrence Seaway,203.275,3252.4,340,3,53,16.0
St Lawrence Seaway,Port of Norfolk,120.95166666666668,1935.226666666667,212,3,10,16.0
Port of Norfolk,Port of Corpus Christi,115.02111111111113,1840.337777777777,192,5,10,16.0
Port of Corpus Christi,Port of Pasadena,13.955277777777779,223.28444444444446,234,7,4,16.0
Port of Pasadena,Port of Perth Amboy,118.81472222222223,1901.0355555555561,313,7,30,16.0
Port of Perth Amboy,Port of Montreal,99.015,1584.24,272,8,29,16.0
Port of Montreal,Port of Amsterdam,201.65777777777768,3226.524444444445,293,6,45,16.0
